Region,Interest
Hawaii,100
Montana,90
Oregon,78
Washington,78
Rhode Island,76
District of Columbia,75
Minnesota,75
Maine,73
Colorado,73
Alaska,72
Wisconsin,71
Wyoming,71
Vermont,70
California,70
Tennessee,69
Idaho,69
South Dakota,68
Massachusetts,67
Missouri,67
North Dakota,66
Arizona,66
Iowa,64
New Mexico,64
North Carolina,63
Nebraska,63
Ohio,63
New Hampshire,63
New York,62
Michigan,62
Pennsylvania,62
Nevada,61
Illinois,61
Louisiana,61
Kansas,61
New Jersey,60
South Carolina,60
Connecticut,60
Virginia,59
Kentucky,59
Texas,59
Arkansas,59
Alabama,58
Florida,58
Georgia,58
Oklahoma,58
Indiana,56
Maryland,55
West Virginia,52
Delaware,51
Utah,50
Mississippi,50
